OBJECTID;Codigo Municipio;Nombre Municipio;Nombre Departamento;Valor Riesgo CC;Riesgo CC;Vulnerabilidad Vs Amenaza;Area Ha;Simbologia;st_area(shape);st_length(shape)
1;5154;CAUCASIA;ANTIOQUIA;0.167918;Bajo;7;136744.713545;Bajo2;0.112088;2.605355
2;5172;CHIGORODÓ;ANTIOQUIA;0.214906;Medio;14;72276.463863;Medio4;0.059112;1.562285
3;5190;CISNEROS;ANTIOQUIA;0.239445;Medio;15;4646.016586;Medio5;0.003797;0.368072
4;5197;COCORNÁ;ANTIOQUIA;0.214695;Medio;14;22418.710923;Medio4;0.018305;0.986678
5;5266;ENVIGADO;ANTIOQUIA;0.232118;Medio;15;4694.303400;Medio5;0.003833;0.264343
6;5206;CONCEPCIÓN;ANTIOQUIA;0.156791;Muy bajo;5;17878.070836;Muy bajo5;0.014607;0.655448
7;5209;CONCORDIA;ANTIOQUIA;0.204276;Medio;13;24006.058415;Medio3;0.019589;0.713854
8;5212;COPACABANA;ANTIOQUIA;0.224281;Medio;15;6861.362073;Medio5;0.005604;0.440444
9;5234;DABEIBA;ANTIOQUIA;0.175750;Bajo;9;202209.663660;Bajo4;0.165223;2.423826
10;5237;DON MATÍAS;ANTIOQUIA;0.189073;Medio;11;20193.383787;Medio1;0.016500;0.926072
11;5658;SAN JOSÉ DE LA MONTAÑA;ANTIOQUIA;0.165193;Bajo;7;12591.241283;Bajo2;0.010292;0.474996
12;5240;EBÉJICO;ANTIOQUIA;0.174640;Bajo;9;23814.242749;Bajo4;0.019445;0.734568
13;5250;EL BAGRE;ANTIOQUIA;0.164468;Bajo;6;155415.861769;Bajo1;0.127368;2.286381
14;5264;ENTRERRIOS;ANTIOQUIA;0.180046;Bajo;10;21631.619708;Bajo5;0.017676;0.779950
15;5690;SANTO DOMINGO;ANTIOQUIA;0.186396;Medio;11;26482.784536;Medio1;0.021642;1.041844
16;5282;FREDONIA;ANTIOQUIA;0.206384;Medio;13;24990.048599;Medio3;0.020391;0.834418
17;5284;FRONTINO;ANTIOQUIA;0.196103;Medio;12;134906.473081;Medio2;0.110159;2.084026
18;5306;GIRALDO;ANTIOQUIA;0.161800;Bajo;6;12569.406238;Bajo1;0.010268;0.552259
19;5036;ANGELÓPOLIS;ANTIOQUIA;0.197467;Medio;12;8171.224178;Medio2;0.006670;0.421099
20;5038;ANGOSTURA;ANTIOQUIA;0.153414;Muy bajo;5;33331.824099;Muy bajo5;0.027256;0.937111
21;5001;MEDELLÍN;ANTIOQUIA;0.214702;Medio;14;37289.755203;Medio4;0.030450;0.918682
22;5002;ABEJORRAL;ANTIOQUIA;0.176424;Bajo;10;51059.394846;Bajo5;0.041666;1.101427
23;5004;ABRIAQUÍ;ANTIOQUIA;0.177053;Bajo;10;29284.881503;Bajo5;0.023918;0.789946
24;5040;ANORÍ;ANTIOQUIA;0.147910;Muy bajo;3;141153.768614;Muy bajo3;0.115523;1.852066
25;5042;SANTA FE DE ANTIOQUIA;ANTIOQUIA;0.203298;Medio;13;49765.442394;Medio3;0.040646;1.075337
26;8137;CAMPO DE LA CRUZ;ATLÁNTICO;0.255316;Alto;17;9944.988906;Alto2;0.008209;0.639124
27;5021;ALEJANDRÍA;ANTIOQUIA;0.186186;Medio;11;13258.468234;Medio1;0.010833;0.721681
28;5030;AMAGÁ;ANTIOQUIA;0.203155;Medio;13;8287.012589;Medio3;0.006763;0.418358
29;5031;AMALFI;ANTIOQUIA;0.165642;Bajo;7;120822.654660;Bajo2;0.098846;1.868040
30;5034;ANDES;ANTIOQUIA;0.178236;Bajo;10;40870.288288;Bajo5;0.033325;1.061342
31;5129;CALDAS;ANTIOQUIA;0.186772;Medio;11;13350.071546;Medio1;0.010897;0.504289
32;5044;ANZÁ;ANTIOQUIA;0.186486;Medio;11;25728.064311;Medio1;0.021004;0.711574
33;5045;APARTADÓ;ANTIOQUIA;0.164441;Bajo;6;53576.532331;Bajo1;0.043849;1.274194
34;5051;ARBOLETES;ANTIOQUIA;0.114292;Muy bajo;1;76763.526959;Muy bajo1;0.062952;1.621885
35;5055;ARGELIA;ANTIOQUIA;0.181186;Medio;11;24586.736749;Medio1;0.020065;1.032672
36;5059;ARMENIA;ANTIOQUIA;0.226732;Medio;15;11063.961545;Medio5;0.009031;0.492232
37;5321;GUATAPÉ;ANTIOQUIA;0.196460;Medio;12;8450.755897;Medio2;0.006903;0.476064
38;5079;BARBOSA;ANTIOQUIA;0.209124;Medio;14;20613.390577;Medio4;0.016842;0.717361
39;5086;BELMIRA;ANTIOQUIA;0.165482;Bajo;7;29809.236494;Bajo2;0.024359;1.129228
40;5088;BELLO;ANTIOQUIA;0.167204;Bajo;7;14812.716231;Bajo2;0.012098;0.578583
41;5353;HISPANIA;ANTIOQUIA;0.209621;Medio;14;5597.931331;Medio4;0.004566;0.323960
42;5091;BETANIA;ANTIOQUIA;0.167788;Bajo;7;17177.148505;Bajo2;0.014008;0.647272
43;5093;BETULIA;ANTIOQUIA;0.159074;Muy bajo;5;27690.465970;Muy bajo5;0.022600;0.801433
44;5101;CIUDAD BOLÍVAR;ANTIOQUIA;0.172454;Bajo;8;25981.311492;Bajo3;0.021191;0.702755
45;5107;BRICEÑO;ANTIOQUIA;0.180276;Medio;11;37903.347855;Medio1;0.031005;0.985032
46;5113;BURITICÁ;ANTIOQUIA;0.149239;Muy bajo;3;36072.843084;Muy bajo3;0.029478;0.957153
47;5120;CÁCERES;ANTIOQUIA;0.128844;Muy bajo;2;191911.545274;Muy bajo2;0.157219;2.590095
48;5125;CAICEDO;ANTIOQUIA;0.184969;Medio;11;19413.533199;Medio1;0.015851;0.635952
49;5134;CAMPAMENTO;ANTIOQUIA;0.160775;Bajo;6;20198.005314;Bajo1;0.016523;0.847191
50;5360;ITAGÜÍ;ANTIOQUIA;0.252953;Alto;17;2063.292354;Alto2;0.001685;0.211809
51;5138;CAÑASGORDAS;ANTIOQUIA;0.160509;Bajo;6;36113.077927;Bajo1;0.029508;1.026375
52;5142;CARACOLÍ;ANTIOQUIA;0.198842;Medio;13;26358.469143;Medio3;0.021539;0.979539
53;5145;CARAMANTA;ANTIOQUIA;0.261893;Alto;17;9052.181736;Alto2;0.007382;0.477323
54;5147;CAREPA;ANTIOQUIA;0.192290;Medio;12;38593.912080;Medio2;0.031575;1.282008
55;5148;CARMEN DE VIBORAL;ANTIOQUIA;0.163286;Bajo;6;43952.659631;Bajo1;0.035882;1.317109
56;5150;CAROLINA;ANTIOQUIA;0.162437;Bajo;6;17932.965455;Bajo1;0.014661;0.641058
57;5308;GIRARDOTA;ANTIOQUIA;0.190670;Medio;12;8216.154299;Medio2;0.006712;0.367462
58;5310;GÓMEZ PLATA;ANTIOQUIA;0.204850;Medio;13;33059.959829;Medio3;0.027028;0.879444
59;5313;GRANADA;ANTIOQUIA;0.165239;Bajo;7;18954.735361;Bajo2;0.015480;0.736031
