"tipo","recurso","rol","script"
"insumo","MUNICIPIOS_SUBREG_PROV.xlsx","lee","02_Code/01_homogeneizacion/crosswalk_territorial.R"
"insumo","códigos_municipios_clean.dta","lee","02_Code/01_homogeneizacion/crosswalk_territorial.R"
"derivado","codigos_provincias","escribe","02_Code/01_homogeneizacion/crosswalk_territorial.R"
"derivado","subreg_completo","escribe","02_Code/01_homogeneizacion/crosswalk_territorial.R"
"insumo","DATALAKE DEyC.xlsx","lee","02_Code/01_homogeneizacion/deyc.R"
"derivado","estructura_productiva","escribe","02_Code/01_homogeneizacion/deyc.R"
"derivado","imca_2022","escribe","02_Code/01_homogeneizacion/deyc.R"
"insumo","Indicadores_ECV2023.xlsx","lee","02_Code/01_homogeneizacion/ecv_oficial_agregados.R"
"derivado","ECV_oficial_agregados","escribe","02_Code/01_homogeneizacion/ecv_oficial_agregados.R"
"insumo","INDICADORES ECV 2023 MUNICIPIOS.xlsx","lee","02_Code/01_homogeneizacion/ecv.R"
"derivado","ECV_raw","escribe","02_Code/01_homogeneizacion/ecv.R"
"derivado","ECV_nbi_pobreza","escribe","02_Code/01_homogeneizacion/ecv.R"
"insumo","DATALAKE EDUCACION.xlsx","lee","02_Code/01_homogeneizacion/educacion.R"
"derivado","20250506 EDUCACION","escribe","02_Code/01_homogeneizacion/educacion.R"
"insumo","EMPAQUETAMIENTO_FIJO_3.csv","lee","02_Code/01_homogeneizacion/infraestructura_internet.R"
"derivado","infraestructura_internet_2025","escribe","02_Code/01_homogeneizacion/infraestructura_internet.R"
"derivado","percepcion_seguridad","escribe","02_Code/01_homogeneizacion/percepcion_seguridad.R"
"derivado","poblacion_total_2025","escribe","02_Code/01_homogeneizacion/poblacion_municipal.R"
"derivado","poblacion_municipal_total_2025","escribe","02_Code/01_homogeneizacion/poblacion_municipal.R"
"insumo","NATALIDAD.xlsx","lee","02_Code/01_homogeneizacion/salud_seguridad.R"
"insumo","DATOS SALUD.xlsx","lee","02_Code/01_homogeneizacion/salud_seguridad.R"
"derivado","20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","escribe","02_Code/01_homogeneizacion/salud_seguridad.R"
"derivado","seguridad_policia","escribe","02_Code/01_homogeneizacion/seguridad_policia.R"
"derivado","uso_del_suelo_pota","escribe","02_Code/01_homogeneizacion/uso_suelo.R"
"insumo","AREA_ORIGINAL.xlsx","lee","02_Code/03_tablas/01_generalidades.R"
"insumo","POBLACION MUNICIPAL.xlsx","lee","02_Code/03_tablas/02_demografia.R"
"insumo","AREA_ORIGINAL.xlsx","lee","02_Code/03_tablas/02_demografia.R"
"insumo","POBLACION MUNICIPAL.xlsx","lee","02_Code/03_tablas/02_demografia.R"
"insumo","curados/poblacion_municipal_total_2025_dicc.dta","lee","02_Code/03_tablas/02_demografia.R"
"insumo","INDICADORES ECV 2023 MUNICIPIOS.xlsx","lee","02_Code/03_tablas/02_demografia.R"
"derivado","poblacion_total_2025","lee","02_Code/03_tablas/02_demografia.R"
"derivado","20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","lee","02_Code/03_tablas/02_demografia.R"
"insumo","POBLACION MUNICIPAL.xlsx","lee","02_Code/03_tablas/03_ordenamiento.R"
"insumo","deficit cuantitativo por municipio 2023.xlsx","lee","02_Code/03_tablas/03_ordenamiento.R"
"insumo","deficit cualitativo por municipio 2023.xlsx","lee","02_Code/03_tablas/03_ordenamiento.R"
"insumo","AREA_ORIGINAL.xlsx","lee","02_Code/03_tablas/03_ordenamiento.R"
"insumo","curados/infraestructura_municipios_dicc.dta","lee","02_Code/03_tablas/03_ordenamiento.R"
"insumo","curados/ESTADO_CATASTRO.xlsx","lee","02_Code/03_tablas/03_ordenamiento.R"
"insumo","CATASTRO.xlsx","lee","02_Code/03_tablas/03_ordenamiento.R"
"insumo","curados/indice_gobierno_digital_2024.dta","lee","02_Code/03_tablas/03_ordenamiento.R"
"derivado","ECV_nbi_pobreza","lee","02_Code/03_tablas/03_ordenamiento.R"
"derivado","ECV_oficial_agregados","lee","02_Code/03_tablas/03_ordenamiento.R"
