"derivado","existe_en_disco","productor","n_consumidores","consumidores"
"20250506 EDUCACION",TRUE,"02_Code/01_homogeneizacion/educacion.R",1,"02_Code/03_tablas/03_ordenamiento.R"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA",TRUE,"02_Code/01_homogeneizacion/salud_seguridad.R",2,"02_Code/03_tablas/02_demografia.R; 02_Code/03_tablas/09_salud.R"
"codigos_provincias",TRUE,"02_Code/01_homogeneizacion/crosswalk_territorial.R",1,"02_Code/R/01_utils.R"
"ECV_nbi_pobreza",TRUE,"02_Code/01_homogeneizacion/ecv.R",2,"02_Code/03_tablas/03_ordenamiento.R; 02_Code/03_tablas/05_economia.R"
"ECV_oficial_agregados",TRUE,"02_Code/01_homogeneizacion/ecv_oficial_agregados.R",2,"02_Code/03_tablas/03_ordenamiento.R; 02_Code/03_tablas/05_economia.R"
"ECV_raw",TRUE,"02_Code/01_homogeneizacion/ecv.R",0,""
"estructura_productiva",TRUE,"02_Code/01_homogeneizacion/deyc.R",0,""
"imca_2022",TRUE,"02_Code/01_homogeneizacion/deyc.R",1,"02_Code/03_tablas/03_ordenamiento.R"
"infraestructura_internet_2025",TRUE,"02_Code/01_homogeneizacion/infraestructura_internet.R",1,"02_Code/03_tablas/03_ordenamiento.R"
"percepcion_seguridad",TRUE,"02_Code/01_homogeneizacion/percepcion_seguridad.R",1,"02_Code/03_tablas/10_seguridad.R"
"poblacion_municipal_total_2025",TRUE,"02_Code/01_homogeneizacion/poblacion_municipal.R",0,""
"poblacion_total_2025",TRUE,"02_Code/01_homogeneizacion/poblacion_municipal.R",4,"02_Code/03_tablas/02_demografia.R; 02_Code/03_tablas/03_ordenamiento.R; 02_Code/03_tablas/10_seguridad.R; 02_Code/99_checks/auditoria_end_to_end.R"
"seguridad_policia",TRUE,"02_Code/01_homogeneizacion/seguridad_policia.R",1,"02_Code/03_tablas/10_seguridad.R"
"subreg_completo",TRUE,"02_Code/01_homogeneizacion/crosswalk_territorial.R",1,"02_Code/R/01_utils.R"
"uso_del_suelo_pota",TRUE,"02_Code/01_homogeneizacion/uso_suelo.R",1,"02_Code/03_tablas/03_ordenamiento.R"
