"archivo","n_lectores","lectores"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA.xlsx",0,""
"617_PROVINCIAS.xlsx",1,"02_Code/03_tablas/04_gobernabilidad.R"
"AREAPROTEGIDA_PROVINCIAS.xlsx",1,"02_Code/03_tablas/07_ambiental.R"
"CULTILICITOS_PROVINCIAS.xlsx",1,"02_Code/03_tablas/10_seguridad.R"
"CULTIVOS_PROVINCIAS.xlsx",1,"02_Code/03_tablas/06_desarrollo_rural.R"
"EDUCACION_PROVINCIAS.xlsx",1,"02_Code/03_tablas/08_educacion.R"
"EMERGENCIAS_PROVINCIAS.xlsx",1,"02_Code/03_tablas/07_ambiental.R"
"ESTADO_CATASTRO.xlsx",1,"02_Code/03_tablas/03_ordenamiento.R"
"EVOA_PROVINCIAS.xlsx",1,"02_Code/03_tablas/10_seguridad.R"
"EXTRANJEROS_PROVINCIAS.xlsx",1,"02_Code/03_tablas/05_economia.R"
"HECHOSVICTIM_PROVINCIAS.xlsx",1,"02_Code/03_tablas/10_seguridad.R"
"ICM_PROVINCIAS.xlsx",1,"02_Code/03_tablas/04_gobernabilidad.R"
"IDF_PROVINCIAS.xlsx",1,"02_Code/03_tablas/04_gobernabilidad.R"
"IMRC_PROVINCIAS.xlsx",1,"02_Code/03_tablas/07_ambiental.R"
"indice_gobierno_digital_2024.dta",1,"02_Code/03_tablas/03_ordenamiento.R"
"infraestructura_municipios_dicc.dta",1,"02_Code/03_tablas/03_ordenamiento.R"
"infraestructura_municipios_dicc.xlsx",0,""
"IRCA_PROVINCIAS.xlsx",1,"02_Code/03_tablas/07_ambiental.R"
"MDM_PROVINCIAS.xlsx",1,"02_Code/03_tablas/04_gobernabilidad.R"
"PECUARIO_PROVINCIAS.xlsx",1,"02_Code/03_tablas/06_desarrollo_rural.R"
"poblacion_municipal_total_2025_dicc.dta",1,"02_Code/03_tablas/02_demografia.R"
"poblacion_municipal_total_2025_dicc.xlsx",0,""
"SRDAFT_PROVINCIAS.xlsx",1,"02_Code/03_tablas/10_seguridad.R"
"suicidios_e_intentos_medias_dicc.dta",1,"02_Code/03_tablas/09_salud.R"
"suicidios_e_intentos_medias_dicc.xlsx",0,""
"VALOR_AGREGADO_20152024_MUNICIPIOS.xlsx",1,"02_Code/03_tablas/05_economia.R"
