"provincia","seccion","archivo","hoja","tipo","filas","columnas"
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial.xlsx","distribucion_territorial","tabla",9,6
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial.xlsx","_fig_01","datos de figura",6,3
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial.xlsx","_mapa00_localizacion","datos de figura",6,4
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial.xlsx","_mapa01_area","datos de figura",6,3
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","poblacion","tabla",9,13
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","estructura_edad","tabla",7,33
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","natalidad_mortalidad","tabla",9,7
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","migracion","tabla",9,7
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","_fig_01","datos de figura",6,3
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","_fig_02","datos de figura",6,5
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","_fig_03","datos de figura",6,3
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","_fig_04","datos de figura",18,3
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","_fig_05","datos de figura",6,2
"Agroindustrial del Occidente","02_Demografia","demografia.xlsx","_mapa02_densidad","datos de figura",6,4
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","deficit_vivienda","tabla",9,6
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","servicios_publicos","tabla",9,16
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","vias_area","tabla",7,7
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","vias_habitantes","tabla",7,7
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","catastro","tabla",7,11
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","imca","tabla",8,16
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","gobierno_digital","tabla",8,16
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","tti_edsup","tabla",7,5
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","internet_2025","tabla",7,8
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","uso_suelo_rural","tabla",6,5
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_01","datos de figura",4,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_02","datos de figura",6,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_03","datos de figura",18,3
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_04","datos de figura",18,3
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_05","datos de figura",6,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_06","datos de figura",6,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_07","datos de figura",12,3
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_08","datos de figura",22,3
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_09","datos de figura",6,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_10","datos de figura",6,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_11","datos de figura",10,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_12","datos de figura",6,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_13","datos de figura",6,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_fig_14","datos de figura",6,2
"Agroindustrial del Occidente","03_Ordenamiento","ordenamiento.xlsx","_mapa03_deficit_vivienda","datos de figura",6,4
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","mdm","tabla",54,8
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","idf","tabla",6,9
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","ley617","tabla",66,9
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","icm","tabla",135,12
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","_fig_01","datos de figura",6,4
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","_fig_02","datos de figura",6,5
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","_fig_03","datos de figura",6,5
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","_fig_04","datos de figura",6,8
"Agroindustrial del Occidente","04_Gobernabilidad","gobernabilidad.xlsx","_fig_05","datos de figura",18,3
"Agroindustrial del Occidente","05_Economia","economia.xlsx","extranjeros_municipio","tabla",97,7
"Agroindustrial del Occidente","05_Economia","economia.xlsx","comparativo_pap_antioquia","tabla",12,5
"Agroindustrial del Occidente","05_Economia","economia.xlsx","ecv_pobreza","tabla",9,10
"Agroindustrial del Occidente","05_Economia","economia.xlsx","ecv_ipm","tabla",9,8
"Agroindustrial del Occidente","05_Economia","economia.xlsx","ecv_gini","tabla",9,16
"Agroindustrial del Occidente","05_Economia","economia.xlsx","ecv_ocupacion_informal","tabla",9,16
"Agroindustrial del Occidente","05_Economia","economia.xlsx","ecv_desocupacion_nini","tabla",9,10
"Agroindustrial del Occidente","05_Economia","economia.xlsx","turismo_instrumentos","tabla",6,8
"Agroindustrial del Occidente","05_Economia","economia.xlsx","dependencia_economica","tabla",9,5
"Agroindustrial del Occidente","05_Economia","economia.xlsx","densidad_empresarial","tabla",7,5
"Agroindustrial del Occidente","05_Economia","economia.xlsx","valor_agregado","tabla",70,15
"Agroindustrial del Occidente","05_Economia","economia.xlsx","va_actividades","tabla",70,17
"Agroindustrial del Occidente","05_Economia","economia.xlsx","energia_tecnologia","tabla",5,3
"Agroindustrial del Occidente","05_Economia","economia.xlsx","energia_centrales","tabla",4,11
"Agroindustrial del Occidente","05_Economia","economia.xlsx","energia_participacion","tabla",3,4
"Agroindustrial del Occidente","05_Economia","economia.xlsx","titulos_mineros","tabla",27,3
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_01","datos de figura",6,2
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_02","datos de figura",6,2
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_03","datos de figura",6,3
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_04","datos de figura",6,3
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_05","datos de figura",6,3
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_06","datos de figura",6,2
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_07","datos de figura",6,2
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_08","datos de figura",6,2
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_09","datos de figura",6,5
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_10","datos de figura",6,4
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_11","datos de figura",6,5
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_12","datos de figura",12,2
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_13","datos de figura",11,2
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_14","datos de figura",35,3
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_fig_15","datos de figura",7,4
"Agroindustrial del Occidente","05_Economia","economia.xlsx","_mapa05_va_percapita","datos de figura",6,4
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","inventario_pecuario","tabla",63,12
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","participacion_municipal","tabla",42,7
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","composicion_especies","tabla",42,11
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","area_km2","tabla",7,5
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","principales_cultivos","tabla",42,6
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","composicion_agricola","tabla",49,12
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","rendimiento","tabla",49,8
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_01","datos de figura",6,4
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_02","datos de figura",24,3
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_03","datos de figura",12,4
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_04","datos de figura",6,6
"Agroindustrial del Occidente","06_Desarrollo_Rural","desarrollo_rural.xlsx","_fig_05","datos de figura",6,5
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","detalle","tabla",20,8
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","irca","tabla",126,11
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","eventos_tipo","tabla",63,6
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","eventos_año","tabla",36,6
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","desastres_selectos","tabla",8,10
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","imrc","tabla",8,6
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","perdida_cobertura","tabla",9,5
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_01","datos de figura",5,3
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_02","datos de figura",6,4
"Agroindustrial del Occidente","07_Ambiental","ambiental.xlsx","_fig_03","datos de figura",18,3
