"provincia","seccion","hoja","n_esperados","n_presentes","n_faltantes","n_ajenos","faltantes","ajenos"
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial",6,6,0,0,"",""
"Agroindustrial del Occidente","01_Generalidades","_mapa01_area",6,6,0,0,"",""
"Agroindustrial del Occidente","02_Demografia","poblacion",6,6,0,0,"",""
"Agroindustrial del Occidente","02_Demografia","estructura_edad",6,6,0,0,"",""
"Agroindustrial del Occidente","02_Demografia","natalidad_mortalidad",6,6,0,0,"",""
"Agroindustrial del Occidente","02_Demografia","migracion",6,6,0,0,"",""
"Agroindustrial del Occidente","02_Demografia","_mapa02_densidad",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","deficit_vivienda",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","servicios_publicos",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","vias_area",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","vias_habitantes",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","catastro",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","imca",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","gobierno_digital",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","tti_edsup",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","internet_2025",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","uso_suelo_rural",6,6,0,0,"",""
"Agroindustrial del Occidente","03_Ordenamiento","_mapa03_deficit_vivienda",6,6,0,0,"",""
"Agroindustrial del Occidente","04_Gobernabilidad","mdm",6,6,0,0,"",""
"Agroindustrial del Occidente","04_Gobernabilidad","idf",6,6,0,0,"",""
"Agroindustrial del Occidente","04_Gobernabilidad","ley617",6,6,0,0,"",""
"Agroindustrial del Occidente","04_Gobernabilidad","icm",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","extranjeros_municipio",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","ecv_pobreza",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","ecv_ipm",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","ecv_gini",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","ecv_ocupacion_informal",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","ecv_desocupacion_nini",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","turismo_instrumentos",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","dependencia_economica",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","densidad_empresarial",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","valor_agregado",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","va_actividades",6,6,0,0,"",""
"Agroindustrial del Occidente","05_Economia","energia_centrales",6,2,4,0,"5004 5284 5543 5842",""
