"provincia","seccion","hoja","bloque","ambito","fila","columna","valor","formula_que_lo_reproduce","agrupamiento","min_municipal","max_municipal","dentro_del_rango_municipal","suma_municipal"
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Área municipal (km²)",4703.180698,"suma","todas",265.930372,1957.262708,FALSE,4703.180698
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Participación en el área provincial",1,"suma","todas",0.0565426652888513,0.416157242019707,FALSE,1
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial","","subregión","TOTAL SUBREGIÓN OCCIDENTE","Área municipal (km²)",7546.107827,"no verificable con esta hoja",,265.930372,1957.262708,FALSE,4703.180698
"Agroindustrial del Occidente","01_Generalidades","distribucion_territorial","","departamento","TOTAL DEPARTAMENTO (ANTIOQUIA)","Área municipal (km²)",62804.710218,"no verificable con esta hoja",,265.930372,1957.262708,FALSE,4703.180698
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Población total",81100,"suma","todas",2807,24808,FALSE,81100
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Participación en el total provincial (%)",1,"suma","todas",0.0346115906288533,0.305893958076449,FALSE,1
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Población urbana",31391,"suma","todas",911,10136,FALSE,31391
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Porcentaje de población urbana",0.387065351418002,"ponderado_poblacion","todas",0.316442723753131,0.442602626503811,TRUE,2.1770763391523
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Participación urbana en el total provincial (%)",1,"suma","todas",0.0290210569908573,0.322895097320888,FALSE,1
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Población rural",49709,"suma","todas",1896,14672,FALSE,49709
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Porcentaje de población rural",0.612934648581998,"ponderado_poblacion","todas",0.557397373496189,0.683557276246869,TRUE,3.8229236608477
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Participación rural en el total provincial (%)",1,"suma","todas",0.0381419863606188,0.295157818503691,FALSE,0.999999999999999
"Agroindustrial del Occidente","02_Demografia","poblacion","","provincia","TOTAL PROVINCIA AGROINDUSTRIAL DEL OCCIDENTE","Densidad poblacional (hab/km²)",17.2436496081231,"OTRA",,9.45257946985947,42.4031681717599,TRUE,128.530105928337
"Agroindustrial del Occidente","02_Demografia","poblacion","","subregión","TOTAL SUBREGIÓN OCCIDENTE","Población total",225788,"no verificable con esta hoja",,2807,24808,FALSE,81100
"Agroindustrial del Occidente","02_Demografia","poblacion","","subregión","TOTAL SUBREGIÓN OCCIDENTE","Población urbana",88348,"no verificable con esta hoja",,911,10136,FALSE,31391
"Agroindustrial del Occidente","02_Demografia","poblacion","","subregión","TOTAL SUBREGIÓN OCCIDENTE","Porcentaje de población urbana",0.39128740234202,"no verificable con esta hoja",,0.316442723753131,0.442602626503811,TRUE,2.1770763391523
"Agroindustrial del Occidente","02_Demografia","poblacion","","subregión","TOTAL SUBREGIÓN OCCIDENTE","Población rural",137440,"no verificable con esta hoja",,1896,14672,FALSE,49709
"Agroindustrial del Occidente","02_Demografia","poblacion","","subregión","TOTAL SUBREGIÓN OCCIDENTE","Porcentaje de población rural",0.60871259765798,"no verificable con esta hoja",,0.557397373496189,0.683557276246869,TRUE,3.8229236608477
"Agroindustrial del Occidente","02_Demografia","poblacion","","subregión","TOTAL SUBREGIÓN OCCIDENTE","Densidad poblacional (hab/km²)",29.9211202882802,"no verificable con esta hoja",,9.45257946985947,42.4031681717599,TRUE,128.530105928337
