"script","figura","linea","tiene_textos_fig","tiene_fuente","tiene_subtitulo","guarda_datos"
"00_mapas.R","mapa_00_localizacion",108,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_01_area",127,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_02_densidad",144,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_03_deficit_vivienda",162,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_05_va_percapita",182,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_07_perdida_cobertura",200,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_08_cobertura_neta",224,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_09_mortalidad_infantil",246,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_10_homicidios",264,TRUE,TRUE,TRUE,TRUE
"00_mapas.R","mapa_10_homicidios_dpto",290,TRUE,TRUE,TRUE,TRUE
"01_generalidades.R","fig_01_distribucion_territorial",45,TRUE,TRUE,TRUE,TRUE
"02_demografia.R","fig_01_poblacion_municipio",58,TRUE,TRUE,TRUE,TRUE
"02_demografia.R","fig_02_composicion_urbana_rural",136,TRUE,TRUE,TRUE,TRUE
"02_demografia.R","fig_03_densidad_poblacional",169,TRUE,TRUE,TRUE,TRUE
"02_demografia.R","fig_04_piramide_poblacional",226,TRUE,TRUE,TRUE,TRUE
"02_demografia.R","fig_05_indice_envejecimiento",256,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_01_uso_suelo_rural",141,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_02_catastro_avaluo_rural",181,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","(nombre dinámico)",221,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","(nombre dinámico)",255,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_07_servicios_publicos",306,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_08_imca_dimensiones",372,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_09_imca_adopcion_tic",400,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_10_gobierno_digital",449,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_11_gobierno_digital_componentes",481,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_12_tti_edsup",515,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_13_internet_1000hab",549,TRUE,TRUE,TRUE,TRUE
"03_ordenamiento.R","fig_14_internet_fibra",582,TRUE,TRUE,TRUE,TRUE
"04_gobernabilidad.R","fig_01_mdm",79,TRUE,TRUE,TRUE,TRUE
"04_gobernabilidad.R","fig_02_idf",112,TRUE,TRUE,TRUE,TRUE
"04_gobernabilidad.R","fig_03_ley617",153,TRUE,TRUE,TRUE,TRUE
"04_gobernabilidad.R","fig_04_icm",190,TRUE,TRUE,TRUE,TRUE
"04_gobernabilidad.R","fig_05_icm_dimensiones",258,TRUE,TRUE,TRUE,TRUE
"05_economia.R","(nombre dinámico)",216,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_03_gini_hogar_laboral",279,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_04_ocupacion_informalidad",304,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_05_desocupacion_total_jovenes",325,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_09_valor_agregado_per_capita",399,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_10_peso_relativo_valor_agregado",416,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_11_composicion_valor_agregado",455,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_12_valor_agregado_actividades",478,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_13_titulos_mineros",510,TRUE,TRUE,TRUE,TRUE
"05_economia.R","fig_14_visitantes_extranjeros",552,TRUE,TRUE,TRUE,TRUE
