"seccion","hoja","indicador","n_provincias","tiene_ficha","ficha_tecnica","familia_ficha","fuente_inventario","periodo_inventario","periodicidad_inventario","sentido_inventario","actualizable_2025","en_inventario"
"01_Generalidades","distribucion_territorial","Área municipal (km²)",11,FALSE,,,,,,,,FALSE
"01_Generalidades","distribucion_territorial","Participación en el área provincial",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","0 a 9",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","10 a 19",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","20 a 29",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","30 a 39",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","40 a 49",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","50 a 59",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","60 a 69",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","70 a 79",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","80 o más",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 0 a 9",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 10 a 19",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 20 a 29",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 30 a 39",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 40 a 49",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 50 a 59",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 60 a 69",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 70 a 79",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Hombres 80 o más",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 0 a 9",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 10 a 19",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 20 a 29",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 30 a 39",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 40 a 49",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 50 a 59",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 60 a 69",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 70 a 79",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Mujeres 80 o más",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Población femenina",11,FALSE,,,,,,,,FALSE
"02_Demografia","estructura_edad","Población masculina",11,FALSE,,,,,,,,FALSE
"02_Demografia","migracion","Tasa neta de migración - cabecera municipal",11,FALSE,,,,,,,,FALSE
"02_Demografia","migracion","Tasa neta de migración - centros poblados y rural",11,FALSE,,,,,,,,FALSE
"02_Demografia","migracion","Tasa neta de migración - total",11,FALSE,,,,,,,,FALSE
"02_Demografia","natalidad_mortalidad","Índice de Envejecimiento",11,FALSE,,,"DANE Censo 2018 actualizaciones post covid","1985-2035","Anual","Negativo","NO",TRUE
"02_Demografia","natalidad_mortalidad","Tasa de Mortalidad",11,FALSE,,,,,,,,FALSE
"02_Demografia","natalidad_mortalidad","Tasa de Natalidad",11,FALSE,,,"Estadísticas Vitales - Seccional de Salud para Antioquia","2006-2023","Anual","Positivo",,TRUE
"02_Demografia","poblacion","Densidad poblacional (hab/km²)",11,FALSE,,,,,,,,FALSE
