"familia","ficha","usada_por_el_pipeline","ruta"
"Accidentalidad","Hogares donde algún miembro de la familia tuvo un accidente",FALSE,"00_Documentos/Fichas Tecnicas/Accidentalidad/Hogares donde algún miembro de la familia tuvo un accidente.docx"
"Accidentalidad","Tasa de accidentalidad",FALSE,"00_Documentos/Fichas Tecnicas/Accidentalidad/Tasa de accidentalidad.docx"
"Calidad de Vida","ICV AMetro",FALSE,"00_Documentos/Fichas Tecnicas/Calidad de Vida/ICV AMetro.docx"
"Calidad de Vida","ICV Depto",FALSE,"00_Documentos/Fichas Tecnicas/Calidad de Vida/ICV Depto.docx"
"Calidad de Vida","IMCV",FALSE,"00_Documentos/Fichas Tecnicas/Calidad de Vida/IMCV.docx"
"Calidad de Vida","Índice de felicidad",FALSE,"00_Documentos/Fichas Tecnicas/Calidad de Vida/Índice de felicidad.docx"
"Calidad de Vida","IPM",FALSE,"00_Documentos/Fichas Tecnicas/Calidad de Vida/IPM.docx"
"Calidad de Vida","Línea de indigencia",FALSE,"00_Documentos/Fichas Tecnicas/Calidad de Vida/Línea de indigencia.docx"
"Calidad de Vida","Línea de pobreza",FALSE,"00_Documentos/Fichas Tecnicas/Calidad de Vida/Línea de pobreza.docx"
"Calidad de Vida","NBI",FALSE,"00_Documentos/Fichas Tecnicas/Calidad de Vida/NBI.docx"
"Demografía","Índice de dependencia económica",TRUE,"00_Documentos/Fichas Tecnicas/Demografía/Índice de dependencia económica.docx"
"Demografía","Índice de masculinidad",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Índice de masculinidad.docx"
"Demografía","Jefe del hogar hombre sin cónyuge ",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Jefe del hogar hombre sin cónyuge .docx"
"Demografía","Jefe del hogar hombre sin cónyuge y con hijos menores de 18",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Jefe del hogar hombre sin cónyuge y con hijos menores de 18.docx"
"Demografía","Jefe del hogar hombre",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Jefe del hogar hombre.docx"
"Demografía","Jefe del hogar mujer sin cónyuge y con hijos menores de 18",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Jefe del hogar mujer sin cónyuge y con hijos menores de 18.docx"
"Demografía","Jefe del hogar mujer sin cónyuge",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Jefe del hogar mujer sin cónyuge.docx"
"Demografía","Jefe del hogar mujer",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Jefe del hogar mujer.docx"
"Demografía","Proporción de población campesina",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Proporción de población campesina.docx"
"Demografía","Tasa de migración",FALSE,"00_Documentos/Fichas Tecnicas/Demografía/Tasa de migración.docx"
