"derivado","columna","tipo","distintos","pct_vacios","ejemplo"
"20250506 EDUCACION","ind_mpio","decimal",125,0,"   5001"
"20250506 EDUCACION","nvl_label","texto",125,0,"Medellín"
"20250506 EDUCACION","clas_cole","decimal",43,0,"42.0588"
"20250506 EDUCACION","ninis","decimal",125,0,"21.4838"
"20250506 EDUCACION","tcb_edsup","decimal",52,0,"115.969"
"20250506 EDUCACION","tcb_media","decimal",122,0,"  98.57"
"20250506 EDUCACION","tcb_primaria","decimal",124,0," 104.44"
"20250506 EDUCACION","tcb_secundaria","decimal",123,0," 110.28"
"20250506 EDUCACION","tcb_transicion","decimal",125,0,"  88.55"
"20250506 EDUCACION","tdes_media","decimal",113,0,"   3.93"
"20250506 EDUCACION","tdes_primaria","decimal",116,0,"   4.85"
"20250506 EDUCACION","tdes_secundaria","decimal",112,0,"   6.75"
"20250506 EDUCACION","tdes_transicion","decimal",106,0,"   4.84"
"20250506 EDUCACION","trep_media","decimal",104,0,"   4.82"
"20250506 EDUCACION","trep_primaria","decimal",115,0,"   7.86"
"20250506 EDUCACION","trep_secundaria","decimal",121,0,"  13.73"
"20250506 EDUCACION","trep_transicion","decimal",85,0,"   1.89"
"20250506 EDUCACION","tti_edsup","decimal",124,0,"49.3626"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","ind_mpio","decimal",125,0,"   5001"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","nvl_label","texto",125,0,"Medellín"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","tasa_natalidad","decimal",125,0,"7.80153"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","tasa_mortalidad","decimal",125,0,"6.47471"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","crec_vegetativo","decimal",125,0,"1.32682"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","percepción_seguridad","decimal",125,0,"0.606802"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","tasa_delitos","decimal",108,0,"0.0677347"
"20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA","IRV","decimal",125,0,"0.183561"
