"id";"fase";"fecha";"area";"archivo";"ubicacion";"categoria";"severidad";"titulo";"evidencia";"impacto";"propuesta";"esfuerzo";"estado"
"F-1-001";"1";"2026-08-17";"documentacion";"04_Docs/anexo_metodologico.tex";"§9 Los documentos generados, subsección Qué se genera";"CONSISTENCIA-DOC";"MEDIO";"La macro \cifraFiguras describe una provincia con el total de las once";"tablas/cifras.tex define \cifraFiguras=814, que es el total de figuras y mapas de las 11 provincias. En §1 se usa bien («archivos de figura entre las 11 provincias»), pero en §9 el mismo macro describe un solo diagnóstico provincial: renderiza «con sus 814 figuras y mapas repartidos». El conteo real por provincia es 74 (64 figuras + 10 mapas), verificado contando los archivos de 03_Outputs/Bioenergetica_Norte, y coincide con lo que declaran 04_Docs/README.md y plan_escritura_provincial.md. MECANISMO LOCALIZADO (2026-08-18, lote 2F): la macro se define como «macros$cifraFiguras <- .n(nrow(fig))» sobre F1_figuras.csv, que trae una fila por (provincia, figura), así que es el total de las once. El propio archivo demuestra que la distinción se conocía: la tabla T8, dos líneas antes, SÍ divide por el número de provincias —«figuras = sum(g$tipo == ""Figura"") / length(unique(g$provincia))»—. Y los dos usos del anexo son incompatibles: la línea 60 dice «\cifraFiguras{} archivos de figura ENTRE LAS \cifraProvincias{} provincias» (correcto) y la línea 775, dentro de la descripción de UN borrador provincial, dice «con sus \cifraFiguras{} figuras y mapas repartidos» (incorrecto: multiplica por once).";"El anexo metodológico publicado afirma que cada diagnóstico provincial lleva 814 figuras, once veces más de las que lleva. Es una cifra errónea en un documento cuyo principio declarado es que ninguna cifra se escribe a mano.";"Emitir dos macros distintas —\cifraFiguras (total del sistema) y \cifraFigurasProvincia (nrow(fig) / provincias presentes)— y usar cada una donde corresponda. El cálculo por provincia ya está escrito en T8.";"bajo";"abierto"
"F-1-002";"1";"2026-08-17";"documentacion";"04_Docs/anexo_metodologico.tex";"§6 Reglas de agregación, Indicadores que no se agregan, entrada «Uso adecuado del suelo rural»";"CONSISTENCIA-DOC";"MEDIO";"La macro \cifraMunicipios se usa para dos cantidades distintas";"\cifraMunicipios=88 es el número de municipios que cubre el sistema provincial. En §6 se usa para la cobertura de la fuente de uso del suelo rural: «La fuente cubre 88 de los 125 municipios». Son dos magnitudes sin relación; que coincidan sería casualidad. El valor correcto habría que leerlo de uso_del_suelo_pota.parquet.";"El anexo declara una cobertura de fuente que probablemente no es la real, y justifica con ella la decisión de no agregar el indicador. Si la cobertura real fuera muy distinta, la justificación cambia de fuerza.";"Generar un macro propio (\cifraMunicipiosUsoSuelo) contando municipios distintos en el derivado, y usarlo ahí. Verificar en fase 4 cuál es el valor real.";"bajo";"abierto"
"F-1-003";"1";"2026-08-17";"documentacion";"04_Docs/tablas/cifras.tex; README.md; 04_Docs/auditoria/RESUMEN.md";"\cifraCurados; «Huecos conocidos»; §A Procedencia";"CONSISTENCIA-DOC";"BAJO";"Tres conteos distintos de insumos curados: 22, 25 y 26";"Tres cifras para lo mismo: cifras.tex define \cifraCurados = 22; el README raíz dice «Veinticinco insumos»; RESUMEN.md dice 26. Resuelto contra los datos: A3_insumos_curados.csv tiene 26 filas, de las cuales 4 tienen n_lectores = 0 (20260504_SEGURIDAD_SALUD_DEFICT_VIVIENDA.xlsx, infraestructura_municipios_dicc.xlsx, poblacion_municipal_total_2025_dicc.xlsx, suicidios_e_intentos_medias_dicc.xlsx). El 22 del anexo es, por tanto, «curados que algún script lee», y en el disco hay 26. El 25 del README no corresponde a ninguna de las dos definiciones.";"El anexo usa \cifraCurados en dos frases donde la cantidad correcta es 26, no 22: «Son 22 archivos y constituyen el mayor riesgo de reproducibilidad del proyecto» y «Los 22 insumos curados no se regeneran con el flujo». Los cuatro que ningún script lee tampoco se regeneran y también hay que rehacerlos a mano si se pierden, así que el riesgo declarado se queda corto en un 15 %. Es la cifra con la que el proyecto mide su propia deuda de reproducibilidad.";"Generar dos macros distintos —curados en uso y curados totales— y usar el segundo en las dos frases sobre reproducibilidad. Alinear el README con la cifra generada en vez de escribirla a mano.";"trivial";"abierto"
"F-1-004";"1";"2026-08-17";"documentacion";"README.md";"«Huecos conocidos», «Documentación desactualizada»; «Historial de cambios» 2026-08-08";"CONSISTENCIA-DOC";"BAJO";"Los conteos de figuras del README no coinciden con la salida real";"El README dice que el código genera «56 figuras más 10 mapas por provincia» y que una corrida completa produce «704 figuras». En 03_Outputs/Bioenergetica_Norte hay 64 figuras y 10 mapas (74 archivos base, cada uno en PNG y PDF); RESUMEN.md reporta 814 figuras exportadas y 66 llamadas a guardar_fig() en el código. CERRADO CON LA CORRIDA COMPLETA (2026-08-18): las once provincias generadas de cero producen 814 .png y 814 .pdf, es decir 74 piezas por provincia (64 figuras + 10 mapas). La cifra coincide EXACTAMENTE con las «814 figuras exportadas» que reporta el RESUMEN.md del autor, y refuta la del README, que dice «56 figuras más 10 mapas por provincia» (66) y «704 figuras» en total. El README se queda corto en 8 figuras por provincia y 110 en total. También quedan confirmados los 110 .xlsx (11 x 10 secciones).";"Quien use el README para verificar que una corrida quedó completa contará de menos y dará por buena una corrida truncada.";"Generar los conteos del README desde F1_figuras.csv, como ya se hace con las macros del anexo, en vez de mantenerlos a mano. Y de paso corregir \cifraFiguras, que tiene el problema inverso (ver F-1-001).";"trivial";"cerrado"
"F-1-005";"1";"2026-08-17";"documentacion";"README.md; 01_Data/00_Inputs/README.md";"«Fuentes que no están en el repositorio»; «Fuentes ausentes del clon»";"CONSISTENCIA-DOC";"BAJO";"La lista de fuentes ausentes se contradice consigo misma y con la cifra de la auditoría";"El README raíz habla de cinco archivos que no viajan con el repositorio; 01_Data/00_Inputs/README.md dice «Cuatro archivos» y a continuación lista cinco; RESUMEN.md reporta 45 insumos citados, 43 presentes y 2 ausentes. CORRECCIÓN DE LA EVIDENCIA (2026-08-18): al registrarlo se afirmó que tres de los cinco archivos sí estaban en disco. ES FALSO: esa lectura venía del listado anterior a la restauración de la carpeta. Comprobado sobre el disco actual, los cinco están ausentes, y 04_probar_homogeneizacion.R confirma que cuatro de ellos detienen su script con «Falta el insumo». La lista del README es correcta. Lo que queda es la contradicción entre «cuatro» y los cinco que se enumeran, y el desajuste con el «2 ausentes» de la auditoría, que solo cuenta los insumos citados con entrada(""literal"") y deja fuera los que se componen con una variable.";"Menor, pero real: la cifra de la auditoría (2 ausentes) y la del README (cuatro o cinco) no son comparables y nadie lo advierte. Quien lea el RESUMEN concluirá que al repositorio le faltan dos fuentes cuando en la práctica le faltan cinco, y cuatro de ellas detienen un script de homogeneización completo.";"Hacer que el inventario cuente también las llamadas a entrada() con ruta compuesta —son ocho— y generar la lista del README desde ese inventario en vez de mantenerla a mano en dos sitios.";"bajo";"abierto"
"F-1-006";"1";"2026-08-17";"documento";"02_Code/06_comparativo/generar_comparativo.R; 02_Code/05_documento/generar_borrador.R";"escritura de las referencias de imagen del Markdown (salida: 04_Docs/comparativo/Comparativo_provincias.md)";"REPRODUCIBILIDAD";"ALTO";"Los doce documentos entregados llevan ~825 rutas absolutas de la máquina del autor, y el .docx sale sin ninguna figura reportándose como éxito";"Las once referencias de figura de 04_Docs/comparativo/Comparativo_provincias.md apuntan a /Users/jcmunoz/github_repositories/Proyecto-Provincias/03_Outputs/_Comparativo/figuras/... Es un artefacto generado, así que la ruta la escribe el script, no una edición manual. AMPLIACIÓN (2026-08-18, lote 2E). El alcance es mucho mayor de lo registrado y el mecanismo está localizado. (a) MAGNITUD: no son once referencias del comparativo; son 74 en un solo borrador provincial y 11 en el comparativo — unas 825 en los doce documentos entregados, todas apuntando a /Users/jcmunoz/github_repositories/Proyecto-Provincias/. El defecto no es del comparativo: es de .figura() en generar_borrador.R, que ambos comparten. (b) ORIGEN: la ruta NO está escrita en el código —sale de RUTAS$outputs, derivado de PROJ_ROOT autodetectado—, así que el código está limpio y lo que está contaminado es el entregable versionado. (c) POR QUÉ NO SE NOTA: generar_comparativo.R comenta que pasa «--resource-path» «por si el borrador se regenera desde otro directorio», pero --resource-path de pandoc solo se aplica a rutas RELATIVAS: con rutas absolutas es inerte. Pandoc no encuentra ninguna imagen, emite warnings en stderr y produce el .docx igual; y el script comprueba el éxito solo con file.exists(docx), así que un .docx sin ninguna figura pasa la prueba y se anuncia con su tamaño (ver F-2-050). CORRECCIÓN A ESTA FICHA (2026-08-20, medido con pandoc 3.1.3): la afirmación «pandoc no encuentra ninguna imagen, emite warnings y produce el .docx igual» es FALSA para rutas ABSOLUTAS. Pandoc aborta con estado 1 y no escribe nada («withBinaryFile: does not exist»). El efecto real no era doce documentos sin figuras sino doce documentos que no se pueden producir en ninguna máquina ajena, salvo que hubiera un .docx viejo en disco, que es F-2-050(b). Lo que sí sale con estado 0 y produce un .docx sin figuras es una ruta RELATIVA no encontrable, y por eso las correcciones 11 y 12 tienen que ir juntas. CONFIRMADO: --resource-path es inerte con rutas absolutas. CORREGIDO 2026-08-20 (correcciones 11 y 12 de CORRECCIONES.md): .figura() emite la ruta relativa a RUTAS$raiz mediante una función nueva .ruta_relativa(), envuelta en <>. Una sola función arregla los 825 casos porque generar_comparativo.R hereda .figura() por el source() que ya hacía. Verificado de extremo a extremo con las funciones reales del pipeline, pandoc real y desde un directorio de trabajo distinto. LÍMITE: el .md sigue sin mostrar figuras en GitHub, que resuelve las rutas desde la ubicación del archivo y no desde la raíz.";"El .md del comparativo no muestra ninguna figura en ninguna máquina que no sea la de quien lo generó, y la conversión a .docx fallará o saldrá sin imágenes. Reintroduce exactamente el problema que la migración de agosto eliminó (MIGRATION.md: «el bloque de rutas ya no existe») y contradice la regla 1 del README de código. AMPLIACIÓN: el efecto real no es que «fallará la conversión», sino que la conversión TERMINARÁ BIEN y producirá doce documentos sin una sola figura, en cualquier máquina que no sea la del autor. Y rompe la comparación entre corridas: dos ejecuciones del mismo commit sobre los mismos datos dan .md distintos byte a byte.";"Emitir la ruta relativa a RUTAS$raiz en .figura() —sub(paste0(RUTAS$raiz, ""/""), """", ruta, fixed = TRUE)— y envolverla en <> por si la raíz tiene espacios. Con eso el --resource-path que ya se pasa empieza a hacer su trabajo. Corregir en generar_borrador.R arregla los doce documentos de una vez.";"bajo";"corregido"
"F-1-007";"1";"2026-08-17";"documento";"02_Code/05_documento/generar_borrador.R";"paso de conversión a .docx (salida: 04_Docs/borradores/<Provincia>/)";"REPRODUCIBILIDAD";"MEDIO";"Los once borradores existen solo en .md; falta el .docx que la documentación promete";"04_Docs/borradores/ tiene los once <Provincia>_diagnostico.md y los once esqueleto.md, y ningún .docx. 04_Docs/README.md documenta <Provincia>_diagnostico.docx como el entregable, con sus estilos heredados del Anexo 1, y advierte que sin pandoc solo se genera el Markdown intermedio. RESUELTO EL MECANISMO (2026-08-18, lote 2E): la conversión se hace con system2(""pandoc"", ...), no con rmarkdown::render(), y la ausencia de pandoc se avisa solo con message(), de modo que el proceso termina con código de salida 0. Detalle completo y los otros dos modos de fallo del mismo bloque, en F-2-050.";"El entregable que el equipo pegaría en el documento maestro no existe. La degradación está prevista y documentada, pero no queda registrada en ninguna salida: hay que deducirla de la ausencia de archivos.";"Confirmar en el diagnóstico de entorno si falta pandoc. Que el script deje constancia explícita (un archivo o una línea en el log) cuando degrada a solo Markdown, en vez de terminar en silencio.";"bajo";"abierto"
"F-1-008";"1";"2026-08-17";"datos";"01_Data/00_Inputs/códigos_provincias.dta; 01_Data/00_Inputs/subreg_completo.dta";"01_Data/00_Inputs/";"MANTENIBILIDAD";"BAJO";"Dos derivados del pipeline anterior siguen en la carpeta de fuentes";"códigos_provincias.dta y subreg_completo.dta siguen en 01_Data/00_Inputs/, aunque 01_Data/00_Inputs/README.md declara «El pipeline anterior sí dejaba dos derivados en esta carpeta [...]; ya no» y MIGRATION.md los da por movidos a 01_Derived. Sus equivalentes vigentes existen como codigos_provincias.parquet y subreg_completo.parquet.";"Contradice la regla 2 (00_Inputs es solo lectura y no contiene derivados) y deja dos copias obsoletas del crosswalk territorial junto a las fuentes. Riesgo de que alguien lea la versión vieja.";"Verificar que ningún script vigente los lee y, si es así, moverlos a 99_Legacy/datos/ en la fase de corrección.";"trivial";"abierto"
"F-1-009";"1";"2026-08-17";"documentacion";"README.md";"sección «Cómo correr el pipeline», bloque «Desde RStudio»";"MANTENIBILIDAD";"NOTA";"RETIRADO — el .Rproj del repositorio es un artefacto local, no del proyecto";"HALLAZGO RETIRADO, 2026-08-17, tras dos correcciones sucesivas. (1) Se afirmó que el repositorio había perdido su .Rproj, con .Rproj.user/ como prueba. (2) Pablo aclaró que esa carpeta la generó él; se retractó y se escribió que el repositorio no versiona ningún .Rproj. (3) `git status` sobre el commit a475acf muestra 'D Proyecto-Provincias.Rproj': el archivo SÍ está en el commit y falta en la copia de trabajo. Pero el historial muestra que entró en los commits del 2026-08-15 13:15 y 14:32, hechos por Pablo después de crear el proyecto en RStudio y de correr renv::restore(): lo mismo vale para .Rprofile, renv/activate.R y renv/.gitignore, todos con estado 'D'. Son artefactos de esta copia local que quedaron comprometidos, no material entregado por el autor del pipeline.";"Ninguno. No hay nada que reportar al autor. Se conserva la fila, en vez de borrarla, como registro del método: tres lecturas sucesivas del mismo indicio dieron tres conclusiones distintas, y solo la consulta al historial de git zanjó el asunto.";"Ninguna. No incluir en el informe al autor salvo como nota metodológica.";"trivial";"retirado"
"F-1-010";"1";"2026-08-17";"figuras";"02_Code/R/03_mapas.R";"líneas 121-143, HAY_REPEL y .capa_etiquetas()";"ROBUSTEZ";"ALTO";"Sin ggrepel los mapas se degradan en silencio e incumplen DISENO.md";"ggrepel es dependencia opcional. Con ella, las etiquetas se separan y llevan halo del color de la superficie (bg.color). Sin ella, .capa_etiquetas() cae a ggplot2::geom_text() sin halo ni separación, y NO se emite ningún aviso. Contraste con sf, cuya ausencia sí se reporta como «OMITIDO — falta el paquete sf» en el resumen de run_provincia.R. Verificado sobre salida real: el diagnóstico de entorno del 2026-08-17 confirma ggrepel ausente en la máquina de Pablo, y en 03_Outputs/Bioenergetica_Norte/02_Demografia/figuras/mapa_02_densidad.png (generado 2026-08-15) se observan «Angostura» y «Guadalupe» superpuestas hasta ser ilegibles, «San Andrés de Cuerquía» y «San José de la Montaña» desbordando su polígono sobre municipios vecinos, y «Campamento» y «Yarumal» en texto oscuro sobre relleno azul muy oscuro, sin halo. AMPLIACIÓN (2026-08-18, lote 2D): además del halo ausente sin ggrepel, el color del texto es fijo (COLOR$tinta_1, casi negro) para toda la rampa, y el halo declarado tiene radio 0,12, insuficiente sobre los tonos más oscuros del Azul Zafre. DISENO.md promete que el nombre «se lea sobre cualquier tono de la rampa». El propio proyecto tiene la solución escrita en 04_figuras/06_desarrollo_rural.R (.luminancia / .color_legible), que elige el color del texto según el tono de fondo; no se usa en los mapas. CORREGIDO 2026-08-20 (corrección 13 de CORRECCIONES.md). DESCUBIERTO AL CORREGIR: el proyecto ya había decidido esto y lo escribió DOS VECES con las mismas palabras. DISENO.md línea 237: «sf y ggrepel son dependencias opcionales: sin ellas el pipeline genera todo lo demás y OMITE LOS MAPAS CON UN AVISO». R/00_config.R línea 162: «sin estos dos paquetes el pipeline (...) omite los mapas con un aviso», sobre PAQUETES_MAPAS <- c(""sf"", ""ggrepel""). 03_mapas.R aplicaba esa regla solo a sf. Además, el comentario de 00_config.R justifica la opcionalidad porque sf «necesita GDAL, GEOS y PROJ en el sistema», razón que no aplica a ggrepel, que es R puro. LA CORRECCIÓN: HAY_CARTOGRAFIA pasa a derivarse de PAQUETES_MAPAS —la lista deja de estar escrita a mano en el módulo— y el mensaje nombra el paquete que falta; .capa_etiquetas() PIERDE la rama geom_text(), que con el guarda nuevo es inalcanzable, de modo que la degradación desaparece por construcción; y el resumen de run_provincia.R nombra lo que falta en vez de decir siempre «falta el paquete sf». SEGUNDO SITIO NO REGISTRADO EN ESTA FICHA: 06_comparativo/figuras_comparativas.R:225 repite el patrón en los diagramas de dispersión del comparativo; no son mapas, así que se conserva la figura pero se añade warning(). LÍMITE: el color fijo del texto y el halo de radio 0,12 NO se tocaron, porque son un cambio visual que no se puede renderizar ni comprobar en el contenedor de la auditoría; se decide mirando los mapas ya regenerados con ggrepel. AVISO OPERATIVO: hay que instalar ggrepel antes de la próxima corrida o no se generará ningún mapa.";"Los 10 mapas por provincia —110 en total— se generan con etiquetas superpuestas, desbordadas e ilegibles, y el pipeline los da por buenos: el resumen de la corrida dice «OK». DISENO.md exige explícitamente separación con ggrepel y halo del color de superficie «para que el nombre se lea sobre cualquier tono de la rampa»; ambas condiciones se incumplen sin que nada lo advierta. Un mapa así puede llegar al informe publicado.";"Que la ausencia de ggrepel se reporte igual que la de sf: una línea en el resumen de la corrida y, si se quiere conservar la salida, una nota en el pie del mapa. Alternativamente, tratar ggrepel como dependencia obligatoria del bloque de mapas, dado que DISENO.md la exige. Decisión del autor: la degradación silenciosa es lo que hay que quitar, no necesariamente la degradación.";"bajo";"corregido"
